"Tour Code";"Themes";"Tour Destination";"Price"
"PY6LUG";;"Pyramids of Giza,Valley of the Temples,Valley of the Temples (Valle dei Templi),Cair,Cairo,Giza,Memphis,Temple,The Valley,Egypt,Russia,";"$$"
"PXWAW0";;"Citadel,Hanging Church (El Muallaqa, Sitt Mariam, St Mary),The Citadel,The Citadel,Cair,Cairo,Hassan,Egypt,Mali,";"$$"
"PCRJLZ";;"Cair,Cairo,Egypt,";"$$"
"P0MS0J";;"Cair,Cairo,Egypt,";"$$"
"PS0GSX";"Museum,";"Cairo International,Luxor Airport,Pyramids of Giza,Temple of Karnak,West Bank,Aswan,Cair,Cairo,Giza,Luxor,Memphis,Temple,The Valley,Egypt,";"$$$$"
"PP0WQM";"Museum,";"Cairo International,Egyptian Museum of Antiquities,Pyramids of Giza,Pyramids of Giza,Alexandria,Aswan,Cair,Cairo,Giza,Luxor,Memphis,Meridian,Egypt,";"$$$$"
"PLAXAM";"Museum,";"Cairo International,Abu Simbel,Pyramids of Giza,West Bank,Aswan,Cair,Cairo,Giza,Luxor,Memphis,Meridian,Temple,The Valley,Egypt,";"$$$$"
"P1Y9CV";"Museum,";"Cairo International,Citadel,Pyramids of Giza,Hanging Church (El Muallaqa, Sitt Mariam, St Mary),Pyramids of Giza,Cair,Cairo,Giza,Meridian,Egypt,";"$$$"
"PQ9XZR";"Museum,";"Cairo International,Citadel,Pyramids of Giza,Hanging Church (El Muallaqa, Sitt Mariam, St Mary),Memphis and Saqqara,Pyramids of Giza,Santa Barbara,Cair,Cairo,Giza,Memphis,Santa Barbara,Egypt,";"$$$$"
"P19SU0";"Museum,";"Citadel,Pyramids of Giza,The Citadel,The Citadel,Cair,Cairo,Giza,Egypt,";"$$"
"PDHAC0";"Museum,";"Pyramids of Giza,Cair,Cairo,Giza,Temple,The Valley,Egypt,";"$$"
"PNLDNS";;"Pyramids of Giza,Valley of the Temples,Valley of the Temples (Valle dei Templi),Cair,Cairo,Calama,Giza,Memphis,Temple,The Valley,Egypt,";"$$"
"PTBDTQ";;"Brooklyn Bridge,Central Park,Chinatown,Ellis Island,Empire State Building,The Statue of Liberty,Wall Street,Brooklyn,Manhattan,New York City,York,Italy,New York,Statue of Liberty,";"$$"
"P1QJCP";"Museum,";"Alcatraz,Ghirardelli Square,Golden Gate Bridge,Museu de Marinha (Maritime Museum),National Maritime Museum,North Beach,San Francisco,Italy,San Francisco,";"$$"
"PW4NDS";;"Brooklyn Bridge,Chinatown,Grand Central Station,Greenwich,Greenwich Village,Times Square,Brooklyn,Chelsea,Manhattan,New York City,York,China,Side,New York,Washington,";"$$"
"P06509";;"Cali,San Francisco,Shanghai,San Francisco,California,";"$$"
"P4ES9J";"Museum,National Park,";"Alcatraz,Cable Cars,Coit Tower,Golden Gate Bridge,Lombard Street,North Beach,San Francisco Maritime National Historical Park,San Francisco,Europe,Italy,Japan,Russia,San Francisco,Washington,";"$$$"
"PWT1G0";;"Broadway,Brooklyn Bridge,Central Park,Grand Central Station,Staten Island Ferry,Times Square,Brooklyn,Staten Island,York,Side,New York,";"$$"
"PSJRPE";;"Chinatown,Golden Gate Bridge,Lombard Street,Union Square,San Francisco,Russia,San Francisco,";"$$"
"PJDMHB";"Museum,";"Broadway,North Beach,Columbus,San Francisco,Shanghai,San Francisco,";"$"
"PMP5BR";"Museum,";"Arc de Triomphe,Cinque Terre,Eiffel Tower,Galle,Louvre,Louvre,Pantheon,Ponte Vecchio,Porto,Portofino,Roman Forum,Roman Forum (Foro Romano),The Colosseum,The Old Town,Trevi Fountain (Fontana di Trevi),Vatican City and the Sistine Chapel,Vatican City and the Sistine Chapel,Versailles,Florence,Galle,Loire Valley,Nice,Paris,Porto,Roman,Rome,Versailles,France,Monaco,Rome,";"$$$$"
"P98A0B";"Museum,";"Arc de Triomphe,Eiffel Tower,Louvre,Louvre,Madame Tussauds,Market Square,Market Square,Red Light District (De Wallen),Van Gogh Museum,Amsterdam,Brussels,Paris,Venice,Europe,Venice,";"$$$$"
"PBRZLY";"Museum,World Heritage Site,";"Bob Marley Museum,Jamaica,Kingston,Marl,Jamaica,";"$$"
"PHFN9M";;"Alamo Square,Chinatown,Coit Tower,Golden Gate Bridge,Golden Gate Park,Haight Ashbury,Lincoln Park,Lombard Street,North Beach,The Beaches,Union Square,San Francisco,San Francisco,";"$$$"
"PEFUWX";"National Park,";"Grand Canyon,Hoover Dam,Kingman,The Grand Canyon,The Strip,Hoover,Las Vegas,The Valley,Arizona,Grand Canyon National Park,Grand Canyon National Park,";"$$"
"PDB0P0";;"Grand Canyon,Hoover Dam,The Grand Canyon,The Strip,Hoover,Las Vegas,The Valley,Grand Canyon National Park,";"$$"
"PTRMQ5";;;"$"
