"Tour Code";"Themes";"Tour Destination";"Price"
"PDFWGR";"Sky Activities,";"Santorini Beaches,Islands,Santorini,Surprise,Greece,Santorini,";"$$$$"
"PFWUWB";;"Santorini Beaches,Santorini,Santorini,";"$$$"
"PACROD";;"Hot Springs,Santorini Beaches,Santorini,South Island,Springs,Santorini,";"$$$$"
"PWVZGW";;"Santorini Beaches,Santorini,Santorini,";"$$"
"PBK7PG";"Food Tour,Food Tour,";"Santorini Beaches,Santorini Wineries,Wine Country,Atlantis,Mino,Santorini,Santorini,";"$$$"
"PKU1KJ";;"Thailand,Chia,Chiang Mai,Kawasaki,Thailand,";"$$$$"
"PTCHBN";"Food Tour,";"Hua Hin,Thailand,Bangkok,Flint,Mountains,Thailand,";"$"
"P0E7BS";;"Thailand,Doi Suthep,Bangkok,Chia,Chiang Mai,Mountains,Thailand,";"$$"
"PGBSHM";"Museum,Museum,Museum,Museum,";"Hua Hin,Thailand,Kanchanaburi,Galle,Java,Kanchanaburi,Asia,Australia,Indonesia,Japan,Malaysia,Myanmar,Thailand,England,";"$"
"P2TRMZ";"Museum,";"Hua Hin,Thailand,Kanchanaburi,Kanchanaburi,Muan,Thailand,";"$"
"PAY0FM";"Food Tour,";"Hua Hin,Thailand,Forest Park,Thailand,";"$"
"PMWRFW";;"Thailand,Chia,Chiang Mai,Massa,Thailand,";"$"
"P3PZ24";;"Hua Hin,Phetchaburi,Clinton,Most,Temple,";"$$"
"PFXWZM";"National Park,Water Sports,";"Hua Hin,Thailand,Most,Myanmar,Thailand,";"$$"
"PNEPTM";;"Sukhothai Airport,Thailand,Chinatown,Agri,Bangkok,Chia,Chiang Mai,China,Thailand,";"$"
"PZ50K3";;"Thailand,Chinatown,Hell,Bangkok,China,Thailand,Pattaya,";"$"
"PSLNRA";"Museum,Museum,";"Thailand,Ayutthaya,Chinatown,Damnoen Saduak Floating Market,Museo de la Nacion (National Museum),National Museum,National Museum,National Museum,National Museum (Muzium Negara),The National Museum,Bangkok,Mons,Muan,Ratchaburi,China,Myanmar,Thailand,";"$$$$"
"PF86GX";"National Park,";"Thailand,Chinatown,Bangkok,Dhar,Mountains,Phitsanulok,Temple,China,Thailand,";"$$$$"
"P1NVRP";"Museum,";"Agra Fort,Fatehpur Sikri,Ethnographic Museum (former Folk Art Museum),Folk Art Museum,Gardens,Palace of the Winds (Hawa Mahal),Jama Masjid,Taj Mahal,Agra,Ajmer,Bikaner,Delhi,Fatehpur,Haveli,Jaipur,Jodhpur,Pushkar,Temple,Toyota,Udaipur,India,Agra Fort,Fatehpur Sikri,Taj Mahal,";"$$$$"
"P361YR";"Outdoor Activities,Outdoor Activities,";"Bikaner,Toyota,India,";"$$"
"PETLLC";"Museum,";"Ethnographic Museum (former Folk Art Museum),Folk Art Museum,Gardens,Palace of the Winds (Hawa Mahal),Pantheon,Ajmer,Bari,Chittaurgarh,Delhi,Haveli,Jaipur,Manta,New Delhi,Pushkar,Saga,Temple,Toyota,Udaipur,India,";"$$$$"
"PRZLHZ";"Museum,National Park,Outdoor Activities,Outdoor Activities,";"Agra Fort,Fatehpur Sikri,Ethnographic Museum (former Folk Art Museum),Folk Art Museum,Gardens,Palace of the Winds (Hawa Mahal),Jama Masjid,Old Fort,Taj Mahal,Agra,Bundi,Delhi,Fatehpur,Haveli,Jaipur,Jaisalmer,Jodhpur,Roman,Temple,Toyota,Udaipur,Asia,India,Agra Fort,Fatehpur Sikri,Taj Mahal,";"$$$$"
"PKP2QV";"Museum,National Park,";"Ethnographic Museum (former Folk Art Museum),Folk Art Museum,Gardens,Haveli,Jaisalmer,Jodhpur,Roman,Saga,Temple,Toyota,Udaipur,India,";"$$$$"
"PMNQL0";"Museum,Museum,";"New Delhi Airport,Agra Fort,Fatehpur Sikri,Gardens,Palace of the Winds (Hawa Mahal),Jama Masjid,Taj Mahal,Agra,Bais,Bikaner,Delhi,Fatehpur,Haveli,Jaipur,Jaisalmer,Jodhpur,Manta,New Delhi,Saga,Temple,Toyota,India,Agra Fort,Fatehpur Sikri,Taj Mahal,";"$$$$"
"P31P4Z";"Museum,Outdoor Activities,";"Fatehpur Sikri,Ethnographic Museum (former Folk Art Museum),Folk Art Museum,Red Fort,Taj Mahal,Agra,Ajmer,Bharatpur,Bikaner,Delhi,Fatehpur,Haveli,Jaipur,Jaisalmer,Jodhpur,Pushkar,Toyota,Udaipur,India,Fatehpur Sikri,Taj Mahal,";"$$$$"
"PAAV8S";;"Red Fort,Taj Mahal,Fatehpur,Sikar,Toyota,India,Taj Mahal,";"$$"
"PQD12X";"Museum,";"Ethnographic Museum (former Folk Art Museum),Folk Art Museum,Palace of the Winds (Hawa Mahal),Nara,Bari,Haveli,Jaipur,Jodhpur,Manta,Pushkar,Temple,Toyota,Udaipur,India,";"$$$$"
"PTJ1C6";"Museum,";"Ethnographic Museum (former Folk Art Museum),Folk Art Museum,Gardens,Palace of the Winds (Hawa Mahal),Kish,Bari,Bikaner,Haveli,Jaipur,Jaisalmer,Jodhpur,Kishangarh,Temple,Toyota,Udaipur,India,";"$$$$"
"PYCB9Y";"Outdoor Activities,";"Haveli,Jaisalmer,Toyota,India,";"$$$$"
"PHVJBN";"Museum,Museum,";"Amber Palace,Palace of the Winds (Hawa Mahal),Ajmer,Bikaner,Fatehpur,Haveli,Jaipur,Jodhpur,Manta,Pushkar,Temple,Toyota,Vrindavan,India,";"$$$$"
"PJDRGZ";"Museum,";"Ethnographic Museum (former Folk Art Museum),Folk Art Museum,Jama Masjid,Qutub Minar,Red Fort,Bikaner,Delhi,Fatehpur,Florence,Haveli,Jaisalmer,Jodhpur,New Delhi,Temple,Toyota,Udaipur,India,";"$$$$"
"PWJ9SC";"Museum,Museum,Museum,";"New Delhi Airport,Fatehpur Sikri,Ethnographic Museum (former Folk Art Museum),Folk Art Museum,Palace of the Winds (Hawa Mahal),Kish,Nara,Qutub Minar,Taj Mahal,Agra,Bikaner,Chittaurgarh,Delhi,Fatehpur,Florence,Haveli,Jaipur,Jaisalmer,Kishangarh,Manta,New Delhi,Temple,Toyota,Udaipur,India,Fatehpur Sikri,Taj Mahal,";"$$$$"
"P02NLJ";;"Agra Fort,Chandni Chowk,Jama Masjid,Big Ben and the Houses of Parliament,Qutub Minar,Red Fort,Taj Mahal,Agra,Delhi,Florence,Temple,Toyota,India,Agra Fort,Taj Mahal,";"$$"
"P90XW1";"Museum,";"Constitution Hill,Johannesburg,Africa,South Africa,";"$$"
"PTYZ0W";"Museum,Museum,";"Soweto,Johannesburg,Soweto,Africa,South Africa,";"$$"
"P0ZDH1";;"Johannesburg,Pretoria,Africa,";"$$"
"PZB66P";"Water Sports,Water Sports,";"Whangamata,Coro,";"$$"
"P8XSVS";"Museum,Museum,";"Santorini Beaches,Aegean Coast,Santorini,Santorini,";"$$$$"
"PR3ADF";;"Santorini Beaches,Santorini,Santorini,";"$$$"
"PP1E4C";;"Hot Springs,Santorini Beaches,Mesa,Santorini,South Island,Springs,Santorini,";"$$$$"
"PPKEJK";"Sky Activities,";"Santorini Beaches,The Beaches,Santorini,Santorini,";"$$$$"
"P0QRQW";"Food Tour,";"Santorini Beaches,Artem,Santorini,Greece,Santorini,";"$$"
"PEX3MC";;"Hot Springs,Santorini Beaches,The Beaches,Santorini,South Island,Springs,Santorini,";"$$$"
"PYNDNS";"Museum,Museum,World Heritage Site,";"Hua Hin,Thailand,Amphawa,Asia,Thailand,Botanical Garden (Orto Botanico), Padua,";"$"
"PJT8F5";;"Hua Hin,Thailand,Thailand,";"$"
"P7B0PZ";;"Hua Hin,Thailand,Big Buddha,Surprise,Temple,";"$"
"PLVPR3";;"Thailand,Chia,Chiang Mai,";"$"
"PWELN2";"National Park,";"Hua Hin,Thailand,Royal Pavilion,Thailand,";"$"
"P05XTU";"World Heritage Site,";"Hua Hin,Amphawa,Amphawa Floating Market,Amphawa Canal,Asia,";"$"
"PQ8ML1";;"Hua Hin,Ayutthaya,Ratchaburi,Temple,";"$"
"P3SFWQ";"National Park,";"Hua Hin,Thailand,Forest Park,Thailand,";"$"
"PJF7VT";"Food Tour,";"Santorini Beaches,Santorini,Santorini,";"$$"
"PQ8DN1";"Museum,Museum,";"Santorini Beaches,Aegean Coast,Athens,Santorini,Athens,Santorini,";"$$$$"
"PA6K6M";;"Hua Hin,Thailand,Big Buddha,Forest Park,Plantation,Rajin,Temple,";"$"
"PDCSHZ";"Museum,";"Hua Hin,Thailand,Ayutthaya,Museo de la Nacion (National Museum),National Museum,National Museum,National Museum,National Museum (Muzium Negara),Ratchaburi,Temple,India,Thailand,";"$"
"P5PCL5";"National Park,Outdoor Activities,Outdoor Activities,";"Hua Hin,Thailand,Kanchanaburi,Kanchanaburi,Asia,India,Japan,Myanmar,Thailand,England,";"$"
"P20TBW";;"Hua Hin,Thailand,Phetchaburi,Asia,China,Thailand,";"$"
"PP0FRF";"Museum,";"Hua Hin,Thailand,";"$"
"PWUPM2";"Food Tour,Food Tour,Food Tour,";"Hua Hin,Thailand,Thailand,";"$"
"PPMZY1";"Museum,Museum,";"Hua Hin,Ayutthaya,Museo de la Nacion (National Museum),National Museum,National Museum,National Museum,National Museum (Muzium Negara),The National Museum,Muan,Ratchaburi,Temple,";"$"
"PS1FCE";"National Park,Outdoor Activities,";"Hua Hin, Thailand";"$"
"PLDB8C";"Museum,";"Phuket Airport,Chinatown,Bangkok,Phuket,China,";"$$$$"
"P18KZ4";"National Park,Water Sports,";"Thailand,Koh Samet,Bangkok,Most,Mountains,Rayong,";"$"
"PAH80Q";"Museum,Museum,";"Thailand,Chinatown,Bangkok,Muan,China,Thailand,Angkor,";"$$$$"
"P0PKAM";"National Park,";"Hua Hin,Thailand,Wanakorn National Park,Beaches,Beaches,Beaches,Beaches,Chinatown,Forest Park,The Beaches,Bangkok,Most,Mountains,Muan,Temple,Asia,China,Myanmar,Thailand,";"$$$$"
"P09HXL";"Outdoor Activities,";"Thailand,Ayutthaya,Chinatown,Royal Palace,Royal Palace,Royal Palace,Royal Palace (Haw Kham),Summer Palace,Bangkok,Europe,China,Japan,Thailand,";"$$$$"
"PE86E1";"Museum,";"Ethnographic Museum (former Folk Art Museum),Folk Art Museum,Gardens,Palace of the Winds (Hawa Mahal),Ajmer,Bikaner,Haveli,Jaipur,Jodhpur,Pushkar,Temple,Toyota,Udaipur,India,";"$$$$"
"PQ0UM1";"Outdoor Activities,Outdoor Activities,";"Bikaner,Jaipur,Toyota,India,";"$$"
"P3M0MX";"Food Tour,";"Hua Hin,Thailand,Chinatown,Bangkok,Most,Temple,China,";"$"
"PFDFG4";"Food Tour,Museum,Museum,World Heritage Site,World Heritage Site,World Heritage Site,World Heritage Site,World Heritage Site,World Heritage Site,";"Thailand,Ayutthaya,Chinatown,Museo de la Nacion (National Museum),National Museum,National Museum,National Museum,National Museum (Muzium Negara),Royal Palace,Royal Palace,Royal Palace,Royal Palace (Haw Kham),The Royal Palace,The Royal Palace (Koninklijk Paleis),Temple of the Reclining Buddha (Wat Pho),Bangkok,Chauk,Colon,Independence,Phra Nakhon Si Ayutthaya,Sano,Temple,Yangon,Asia,Europe,Middle East,China,Myanmar,Thailand,Colon,";"$"
"PMS0YY";"Museum,National Park,Water Sports,Water Sports,";"Thailand,Koh Chang,Koh Chang,Paradise Island,Bangkok,Mountains,Paradise,Phuket,Cambodia,Thailand,Koh Chang,";"$$$$"
"PYJ91Y";"Museum,Museum,World Heritage Site,World Heritage Site,World Heritage Site,World Heritage Site,World Heritage Site,World Heritage Site,";"Chiang Mai Airport,Thailand,Ayutthaya,Queen Sirikit Botanic Garden,Wonderland,Bangkok,Chia,Chiang Mai,Muan,Phitsanulok,Temple,Asia,China,Thailand,";"$"
"PPV1JT";"Museum,Outdoor Activities,Outdoor Activities,";"Thailand,Ayutthaya,Chinatown,Grand Place (Central Square),Temple of the Reclining Buddha (Wat Pho),Wilderness,Bangkok,Phra Nakhon Si Ayutthaya,Temple,Africa,Asia,China,India,Thailand,";"$$$$"
"P5ZBS0";"Museum,";"Ethnographic Museum (former Folk Art Museum),Folk Art Museum,Gardens,Kish,Bikaner,Haveli,Jodhpur,Kishangarh,Temple,Toyota,Udaipur,India,";"$$$$"
"PB6AAV";"Museum,";"Agra Fort,Fatehpur Sikri,Ethnographic Museum (former Folk Art Museum),Folk Art Museum,Gardens,Palace of the Winds (Hawa Mahal),Jama Masjid,Pantheon,Taj Mahal,Agra,Ajmer,Bais,Bari,Chittaurgarh,Delhi,Fatehpur,Haveli,Jaipur,Manta,New Delhi,Pushkar,Saga,Temple,Toyota,Udaipur,India,Agra Fort,Fatehpur Sikri,Taj Mahal,";"$$$$"
"PXE7MN";"Museum,National Park,Outdoor Activities,Outdoor Activities,";"Agra Fort,Fatehpur Sikri,Ethnographic Museum (former Folk Art Museum),Folk Art Museum,Gardens,Palace of the Winds (Hawa Mahal),Jama Masjid,Old Fort,Taj Mahal,Agra,Bundi,Fatehpur,Haveli,Jaipur,Jaisalmer,Jodhpur,Roman,Temple,Toyota,Udaipur,Asia,India,Agra Fort,Fatehpur Sikri,Taj Mahal,";"$$$$"
"PAZEXK";;"Haveli,Jaipur,Jaisalmer,Saga,Toyota,India,";"$$$"
"PMDLNT";"Museum,Museum,";"Gardens,Palace of the Winds (Hawa Mahal),Bikaner,Haveli,Jaipur,Jaisalmer,Jodhpur,Manta,Saga,Temple,Toyota,India,";"$$$$"
"P81YAT";"Outdoor Activities,";"New Delhi Airport,Agra Fort,Fatehpur Sikri,Lost City,Big Ben and the Houses of Parliament,Red Fort,Taj Mahal,Agra,Delhi,Fatehpur,Florence,Haveli,Jaipur,New Delhi,Toyota,India,Agra Fort,Fatehpur Sikri,Taj Mahal,";"$$$$"
"PJVQQ9";;"Red Fort,Taj Mahal,Agra,Toyota,India,Taj Mahal,";"$$"
"PXRTWR";;"Fatehpur Sikri,Jama Masjid,Red Fort,Taj Mahal,Agra,Delhi,Fatehpur,Florence,New Delhi,Sunrise,Toyota,India,Fatehpur Sikri,Taj Mahal,";"$$$"
"PMTGUB";"National Park,Outdoor Activities,Outdoor Activities,";"Amber Palace,The Bund,Bikaner,Bundi,Chittaurgarh,Haveli,Jaipur,Jaisalmer,Jodhpur,Kishangarh,Sawai Madhopur,Temple,Toyota,Udaipur,Vrindavan,India,";"$$$$"
"PWWGTQ";"Museum,Museum,";"Amber Palace,Fatehpur Sikri,Palace of the Winds (Hawa Mahal),Red Fort,Taj Mahal,Abha,Agra,Delhi,Fatehpur,Florence,Haveli,Jaipur,Manta,New Delhi,Temple,Toyota,Vrindavan,India,Fatehpur Sikri,Taj Mahal,";"$$$$"
"P4DQV0";"Museum,Museum,National Park,";"Agra Fort,Amber Palace,Fatehpur Sikri,Palace of the Winds (Hawa Mahal),Red Fort,Taj Mahal,Abha,Agra,Bharatpur,Fatehpur,Haveli,Jaipur,Manta,Temple,Toyota,Vrindavan,Ghana,India,Agra Fort,Fatehpur Sikri,Keoladeo National Park,Taj Mahal,";"$$$"
"PPCPE0";"Museum,Museum,National Park,Outdoor Activities,";"New Delhi Airport,Agra Fort,Fatehpur Sikri,Palace of the Winds (Hawa Mahal),Nara,Red Fort,Taj Mahal,Agra,Bharatpur,Delhi,Fatehpur,Florence,Haveli,Jaipur,Manta,New Delhi,Sari,Temple,India,Agra Fort,Fatehpur Sikri,Keoladeo National Park,Taj Mahal,";"$$$$"
"PJJ52A";;"Agra Fort,Fatehpur Sikri,Gardens,Palace of the Winds (Hawa Mahal),Jama Masjid,Big Ben and the Houses of Parliament,Qutub Minar,Red Fort,Taj Mahal,Agra,Delhi,Fatehpur,Florence,Haveli,Jaipur,Toyota,India,Agra Fort,Fatehpur Sikri,Taj Mahal,";"$$$$"
