"Tour Code";"Themes";"Tour Destination";"Price"
"PUHL2B";;"Santorini Beaches,Santorini,Santorini,";"$$"
"PCM6ZB";"Food Tour,";"Santorini Beaches,Santorini Wineries,Merced,Santorini,Santorini,";"$$$$"
"PQM9LM";;"Hot Springs,Santorini Beaches,The Beaches,Santorini,South Island,Springs,Santorini,";"$$$"
"PQ0T5D";"Food Tour,";"Santorini Beaches,Santorini,Greece,Santorini,";"$$$$"
"P1JH11";;"Hua Hin,Thailand,Phetchaburi,Royal Palace,Royal Palace,Royal Palace,Royal Palace (Haw Kham),Summer Palace,The Beaches,Bangkok,Europe,Thailand,";"$"
"P0TETU";"National Park,Water Sports,Water Sports,";"Chia,Chiang Mai,";"$"
"P9C0BU";;"Hua Hin,Thailand,Amphawa,Amphawa Floating Market,Amphawa Canal,Klang,Thailand,";"$"
"PA2HU3";"World Heritage Site,";"Hua Hin,Thailand,Temple,Thailand,";"$"
"P5SPJL";"Food Tour,Outdoor Activities,";"Hua Hin,Thailand,The Rocks,Bangkok,Long Beach,Temple,Thailand,";"$"
"P2YANB";"National Park,";"Hua Hin,Thailand,Thailand,";"$"
"PSFYXU";"National Park,";"Chia,Chiang Mai,";"$"
"PD0JLR";"National Park,";"Chia,Chiang Mai,Temple,";"$"
"PUBDXY";"Museum,Museum,";"Thailand,Chinatown,Hell,Kanchanaburi,Bangkok,Kanchanaburi,China,Thailand,";"$"
"PCQLP4";"Museum,Museum,";"Thailand,Arc de Triomphe,Botanical Gardens,Botanical Gardens,Chinatown,Pisa,Agri,Bangkok,Massa,Pisa,Roman,Surprise,Asia,Europe,Cambodia,China,Egypt,Thailand,Pattaya,Angkor,Botanical Garden (Orto Botanico), Padua,";"$"
"PL0TPZ";"Museum,Museum,National Park,Outdoor Activities,Outdoor Activities,Water Sports,Water Sports,";"Thailand,Chinatown,Hell,Kanchanaburi,Bangkok,Bath,Kanchanaburi,Mountains,Muan,Asia,China,Thailand,";"$$$$"
"P18SF1";"Museum,Museum,Museum,National Park,Water Sports,";"Thailand,Ayutthaya,Chinatown,Hell,Kanchanaburi,Bangkok,Galle,Java,Kanchanaburi,Australia,China,India,Japan,Myanmar,Netherlands,Thailand,England,";"$$$$"
"PHCZTE";"National Park,";"Taj Mahal,Jaipur,Temple,India,Taj Mahal,";"$$"
"PFA9MH";"Museum,";"Gardens,Bikaner,Haveli,Jaisalmer,Jodhpur,Temple,Toyota,India,";"$$$"
"PD5GB0";"Museum,Museum,";"Agra Fort,Fatehpur Sikri,Ethnographic Museum (former Folk Art Museum),Folk Art Museum,Gardens,Palace of the Winds (Hawa Mahal),Jama Masjid,Kish,Taj Mahal,Agra,Bari,Bikaner,Delhi,Fatehpur,Haveli,Jaipur,Jaisalmer,Jodhpur,Kishangarh,Manta,New Delhi,Saga,Temple,Toyota,Udaipur,India,Agra Fort,Fatehpur Sikri,Taj Mahal,";"$$$$"
"PDZKDW";"Museum,";"Kumbhalgarh Fort,Galle,Haveli,Saga,Temple,Toyota,Udaipur,India,";"$$$"
"PKXY0E";"Museum,National Park,";"Ethnographic Museum (former Folk Art Museum),Folk Art Museum,Gardens,Kish,Taj Mahal,Haveli,Jaipur,Jaisalmer,Jodhpur,Kishangarh,Temple,Toyota,Udaipur,India,Taj Mahal,";"$$$$"
"P00ZUT";"Museum,";"Agra Fort,Fatehpur Sikri,Ethnographic Museum (former Folk Art Museum),Folk Art Museum,Gardens,Palace of the Winds (Hawa Mahal),Jama Masjid,Taj Mahal,Agra,Ajmer,Delhi,Fatehpur,Haveli,Jaipur,Jodhpur,Manta,Pushkar,Saga,Temple,Toyota,Udaipur,India,Agra Fort,Fatehpur Sikri,Taj Mahal,";"$$$$"
"PJX7V4";;"Harihar,Haveli,Jaisalmer,Jodhpur,Saga,Temple,Toyota,India,";"$$$"
"PBURRP";;"Agra Fort,Fatehpur Sikri,Taj Mahal,Agra,Fatehpur,Toyota,India,Agra Fort,Fatehpur Sikri,Taj Mahal,";"$$"
"PK1EC6";"Museum,Museum,Museum,";"Amber Palace,Palace of the Winds (Hawa Mahal),Ajmer,Bikaner,Haveli,Jaipur,Jaisalmer,Jodhpur,Manta,Pushkar,Roman,Temple,Toyota,Vrindavan,India,";"$$$$"
"PY6S9G";"Museum,Museum,";"Agra Fort,Amber Palace,Fatehpur Sikri,Palace of the Winds (Hawa Mahal),Taj Mahal,Abha,Agra,Bharatpur,Fatehpur,Haveli,Jaipur,Manta,Temple,Toyota,Vrindavan,Ghana,India,Agra Fort,Fatehpur Sikri,Taj Mahal,";"$$$$"
"PLL1ZV";"Outdoor Activities,";"New Delhi Airport,Ajmer,Bikaner,Delhi,Haveli,Jaipur,Jaisalmer,Jodhpur,Kishangarh,New Delhi,Pushkar,Temple,Toyota,Udaipur,India,";"$$$$"
"PSRC1E";"Museum,Museum,";"Palace of the Winds (Hawa Mahal),Bikaner,Haveli,Jaipur,Manta,Temple,Toyota,Vrindavan,India,";"$$$"
"P1KZ1U";;"Fatehpur Sikri,Jama Masjid,Red Fort,Taj Mahal,Agra,Delhi,Fatehpur,Florence,New Delhi,Sunrise,Toyota,India,Fatehpur Sikri,Taj Mahal,";"$$$"
"PCJRJV";"Outdoor Activities,";"Fatehpur Sikri,Taj Mahal,Agra,Ajmer,Bikaner,Delhi,Fatehpur,Florence,Haveli,Jaipur,Jaisalmer,Jodhpur,New Delhi,Pushkar,Toyota,Udaipur,India,Fatehpur Sikri,Taj Mahal,";"$$$$"
"PNBM1P";;"Agra Fort,Fatehpur Sikri,Gardens,Palace of the Winds (Hawa Mahal),Jama Masjid,Big Ben and the Houses of Parliament,Qutub Minar,Red Fort,Taj Mahal,Agra,Delhi,Fatehpur,Florence,Jaipur,New Delhi,Toyota,India,Agra Fort,Fatehpur Sikri,Taj Mahal,";"$$$$"
"PUY17Z";"Museum,Museum,Museum,";"Palace of the Winds (Hawa Mahal),Bikaner,Jaipur,Manta,Temple,Toyota,Vrindavan,India,";"$$$"
"P58DGA";"Museum,National Park,Outdoor Activities,";"Johannesburg Airport,Soweto,Union Buildings,Johannesburg,Paradise,Pretoria,Soweto,Africa,South Africa,";"$$$$"
"PDGNMN";;"Johannesburg,Africa,South Africa,";"$$$"
"PXZHAC";"Water Sports,";"Whangamata,Waikato";"$"
"PWHRUC";"Water Sports,Water Sports,";"Whangamata,Waikato";"$$"
"PVNDTN";;"Santorini Beaches,Santorini,Santorini,";"$$$$"
"PZ0OTF";;"Santorini Beaches,Athens,Gela,Merced,Santorini,Athens,Santorini,";"$$$$"
"PBN0YQ";;"Santorini Beaches,Santorini,Santorini,";"$$"
"PO425Q";;"Santorini Beaches,Santorini Wineries,Santorini,Greece,Santorini,";"$$$$"
